Tree ID,Species Name,DBH,Structural Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits",xCoordinate,yCoordinate,Comments
,,(in),($),(lb),($),(lb/yr),($/yr),(ft³/yr),($/yr),(lb/yr),($/yr),(oz/yr),($/yr),($/yr),($/yr),,,
404,American beech,22.90,4891.97,2374.50,154.02,37.10,2.41,75.30,5.03,N/A,N/A,34.60,3.83,N/A,11.27,42.78,-86.10,
410,American beech,20.40,3921.15,1824.80,118.36,32.00,2.08,67.60,4.52,N/A,N/A,31.10,3.44,N/A,10.04,42.78,-86.10,
416,American beech,20.40,3921.15,1824.80,118.36,32.00,2.08,67.60,4.52,N/A,N/A,31.10,3.44,N/A,10.04,42.78,-86.10,
464,American beech,26.80,6630.29,3397.50,220.38,45.30,2.94,83.90,5.61,N/A,N/A,38.60,4.27,N/A,12.81,42.78,-86.10,
466,American beech,26.30,6392.19,3254.80,211.12,44.30,2.87,82.80,5.54,N/A,N/A,38.10,4.21,N/A,12.62,42.78,-86.10,
467,American beech,29.30,7888.10,4162.90,270.02,50.80,3.29,88.70,5.93,N/A,N/A,40.80,4.51,N/A,13.74,42.78,-86.10,
473,American beech,39.50,13065.45,8220.80,533.23,74.30,4.82,93.90,6.28,N/A,N/A,43.20,4.78,N/A,15.88,42.78,-86.10,
480,American beech,25.80,6158.56,3115.60,202.09,43.20,2.80,81.80,5.47,N/A,N/A,37.60,4.16,N/A,12.43,42.78,-86.10,
481,American beech,27.10,6775.31,3484.80,226.04,46.00,2.98,84.50,5.65,N/A,N/A,38.90,4.30,N/A,12.94,42.78,-86.10,
482,American beech,39.80,13211.84,8363.80,542.51,75.10,4.87,93.90,6.28,N/A,N/A,43.20,4.78,N/A,15.93,42.78,-86.10,
483,American beech,23.80,5268.91,2592.50,168.16,39.00,2.53,77.90,5.21,N/A,N/A,35.80,3.96,N/A,11.70,42.78,-86.10,
484,American beech,23.70,5226.31,2567.70,166.55,38.80,2.51,77.90,5.21,N/A,N/A,35.80,3.96,N/A,11.68,42.78,-86.10,
486,American beech,16.80,2720.12,1172.50,76.06,25.00,1.62,54.90,3.67,N/A,N/A,25.30,2.79,N/A,8.09,42.78,-86.10,
487,American beech,21.00,4143.93,1949.30,126.44,33.20,2.16,69.50,4.64,N/A,N/A,32.00,3.53,N/A,10.33,42.78,-86.10,
488,American beech,27.60,7020.59,3633.00,235.65,47.10,3.05,85.60,5.72,N/A,N/A,39.40,4.35,N/A,13.13,42.78,-86.10,
503,American beech,30.90,8576.08,4698.90,304.79,54.40,3.53,91.20,6.10,N/A,N/A,41.90,4.64,N/A,14.26,42.78,-86.10,
509,American beech,27.20,6824.01,3514.10,227.94,46.20,3.00,84.90,5.67,N/A,N/A,39.00,4.32,N/A,12.99,42.78,-86.10,
514,American beech,26.80,6630.29,3397.50,220.38,45.30,2.94,83.90,5.61,N/A,N/A,38.60,4.27,N/A,12.81,42.78,-86.10,
515,American beech,23.30,5057.70,2470.10,160.22,37.90,2.46,76.60,5.12,N/A,N/A,35.20,3.90,N/A,11.47,42.78,-86.10,
518,American beech,11.90,1458.91,534.50,34.67,16.10,1.05,36.40,2.43,N/A,N/A,16.70,1.85,N/A,5.33,42.78,-86.10,
531,American beech,31.50,8907.66,4909.30,318.44,55.70,3.61,91.90,6.14,N/A,N/A,42.30,4.68,N/A,14.43,42.78,-86.10,
532,American beech,27.30,6872.89,3543.60,229.85,46.40,3.01,85.20,5.70,N/A,N/A,39.20,4.34,N/A,13.04,42.78,-86.10,
4221,American beech,24.60,5616.16,2795.30,181.31,40.60,2.64,80.20,5.36,N/A,N/A,36.90,4.08,N/A,12.08,42.77,-86.11,
4222,American beech,27.80,7119.96,3693.20,239.56,47.50,3.08,85.90,5.74,N/A,N/A,39.50,4.37,N/A,13.20,42.77,-86.11,
4726,American beech,41.30,13933.48,9099.20,590.21,78.70,5.10,93.90,6.28,N/A,N/A,43.20,4.78,N/A,16.16,42.78,-86.09,
4727,American chestnut,26.40,5924.44,2965.20,192.33,42.40,2.75,55.90,3.73,N/A,N/A,25.70,2.84,N/A,9.33,42.77,-86.12,
4728,American chestnut,16.90,2562.28,1011.00,65.58,22.50,1.46,31.30,2.09,N/A,N/A,14.40,1.59,N/A,5.15,42.77,-86.12,
4729,American chestnut,29.80,7486.23,3963.20,257.07,50.30,3.26,63.70,4.26,N/A,N/A,29.30,3.24,N/A,10.76,42.77,-86.12,
